DEPT,PREVIOUS_LINK_SUM,CURRENT_LINK_SUM,CHANGE_SUMMARY
US_GEOLOGICAL_SURVEY_SUBPAGES_REPORT,170,171,+1 LINKS
US_AIR_FORCE_SUBPAGES_REPORT,151,152,+1 LINKS
TSA_SUBPAGES_REPORT,48,49,+1 LINKS
DHS_SUBPAGES_REPORT,97,96,-1 LINKS
SMALL_BUSINESS_ADMINISTRATION_SUBPAGES_REPORT,174,173,-1 LINKS
STATE_SUBPAGES_REPORT,391,390,-1 LINKS
SOCIAL_SECURITY_ADMINISTRATION_SUBPAGES_REPORT,79,77,-2 LINKS
US_CITIZENSHIP_AND_IMMIGRATION_SERVICES_SUBPAGES_REPORT,146,144,-2 LINKS
US_NAVY_SUBPAGES_REPORT,97,93,-4 LINKS
DEFENSE_SUBPAGES_REPORT,83,83,NO CHANGE
FEDERAL_RESERVE_SUBPAGES_REPORT,217,217,NO CHANGE
LIBRARY_OF_CONGRESS_SUBPAGES_REPORT,83,83,NO CHANGE
JUSTICE_SUBPAGES_REPORT,61,61,NO CHANGE
HEALTH_AND_HUMAN_SERVICES_SUBPAGES_REPORT,0,0,NO CHANGE
SECURITIES_AND_EXCHANGE_COMMISSION_SUBPAGES_REPORT,2,2,NO CHANGE
DEPARTMENT_OF_THE_TREASURY_SUBPAGES_REPORT,240,240,NO CHANGE
CDC_SUBPAGES_REPORT,140,140,NO CHANGE
IRS_SUBPAGES_REPORT,98,98,NO CHANGE
ENVIRONMENTAL_PROTECTION_AGENCY_SUBPAGES_REPORT,103,103,NO CHANGE
DEPARTMENT_OF_EDUCATION_SUBPAGES_REPORT,120,120,NO CHANGE
NATIONAL_INSTITUTES_OF_HEALTH_SUBPAGES_REPORT,128,128,NO CHANGE
WHITE_HOUSE_SUBPAGES_REPORT,70,70,NO CHANGE
NATIONAL_SCIENCE_FOUNDATION_SUBPAGES_REPORT,87,87,NO CHANGE
US_ARMY_SUBPAGES_REPORT,57,57,NO CHANGE
VETERANS_AFFAIRS_SUBPAGES_REPORT,40,40,NO CHANGE
USA_SUBPAGES_REPORT,44,44,NO CHANGE
FEMA_SUBPAGES_REPORT,192,192,NO CHANGE
