DEPT,PREVIOUS_LINK_SUM,CURRENT_LINK_SUM,CHANGE_SUMMARY
DEPARTMENT_OF_THE_TREASURY_SUBPAGES_REPORT,233,232,-1 LINKS
DEFENSE_SUBPAGES_REPORT,95,97,+2 LINKS
VETERANS_AFFAIRS_SUBPAGES_REPORT,39,41,+2 LINKS
NATIONAL_INSTITUTES_OF_HEALTH_SUBPAGES_REPORT,120,82,-38 LINKS
STATE_SUBPAGES_REPORT,353,353,NO CHANGE
US_NAVY_SUBPAGES_REPORT,61,61,NO CHANGE
DOGE_SUBPAGES_REPORT,8,8,NO CHANGE
US_CITIZENSHIP_AND_IMMIGRATION_SERVICES_SUBPAGES_REPORT,134,134,NO CHANGE
USA_SUBPAGES_REPORT,41,41,NO CHANGE
FEMA_SUBPAGES_REPORT,172,172,NO CHANGE
CDC_SUBPAGES_REPORT,139,139,NO CHANGE
DEPARTMENT_OF_EDUCATION_SUBPAGES_REPORT,113,113,NO CHANGE
US_AIR_FORCE_SUBPAGES_REPORT,149,149,NO CHANGE
SMALL_BUSINESS_ADMINISTRATION_SUBPAGES_REPORT,185,185,NO CHANGE
DHS_SUBPAGES_REPORT,90,90,NO CHANGE
JUSTICE_SUBPAGES_REPORT,61,61,NO CHANGE
LIBRARY_OF_CONGRESS_SUBPAGES_REPORT,93,93,NO CHANGE
SOCIAL_SECURITY_ADMINISTRATION_SUBPAGES_REPORT,81,81,NO CHANGE
US_ARMY_SUBPAGES_REPORT,58,58,NO CHANGE
FEDERAL_RESERVE_SUBPAGES_REPORT,218,218,NO CHANGE
SECURITIES_AND_EXCHANGE_COMMISSION_SUBPAGES_REPORT,2,2,NO CHANGE
NATIONAL_SCIENCE_FOUNDATION_SUBPAGES_REPORT,92,92,NO CHANGE
IRS_SUBPAGES_REPORT,91,91,NO CHANGE
ENVIRONMENTAL_PROTECTION_AGENCY_SUBPAGES_REPORT,81,81,NO CHANGE
HEALTH_AND_HUMAN_SERVICES_SUBPAGES_REPORT,0,0,NO CHANGE
TSA_SUBPAGES_REPORT,121,121,NO CHANGE
WHITE_HOUSE_SUBPAGES_REPORT,37,37,NO CHANGE
FBI_SUBPAGES_REPORT,82,82,NO CHANGE
US_GEOLOGICAL_SURVEY_SUBPAGES_REPORT,160,160,NO CHANGE
CIA_SUBPAGES_REPORT,0,0,NO CHANGE
