DEPT,PREVIOUS_LINK_SUM,CURRENT_LINK_SUM,CHANGE_SUMMARY
US_AIR_FORCE_SUBPAGES_REPORT,148,149,+1 LINKS
FEDERAL_RESERVE_SUBPAGES_REPORT,216,217,+1 LINKS
DHS_SUBPAGES_REPORT,89,90,+1 LINKS
FEMA_SUBPAGES_REPORT,170,169,-1 LINKS
IRS_SUBPAGES_REPORT,94,93,-1 LINKS
SMALL_BUSINESS_ADMINISTRATION_SUBPAGES_REPORT,186,185,-1 LINKS
DEFENSE_SUBPAGES_REPORT,93,91,-2 LINKS
US_CITIZENSHIP_AND_IMMIGRATION_SERVICES_SUBPAGES_REPORT,135,135,NO CHANGE
US_GEOLOGICAL_SURVEY_SUBPAGES_REPORT,161,161,NO CHANGE
TSA_SUBPAGES_REPORT,121,121,NO CHANGE
NATIONAL_INSTITUTES_OF_HEALTH_SUBPAGES_REPORT,120,120,NO CHANGE
SOCIAL_SECURITY_ADMINISTRATION_SUBPAGES_REPORT,79,79,NO CHANGE
NATIONAL_SCIENCE_FOUNDATION_SUBPAGES_REPORT,86,86,NO CHANGE
CIA_SUBPAGES_REPORT,0,0,NO CHANGE
US_ARMY_SUBPAGES_REPORT,58,58,NO CHANGE
STATE_SUBPAGES_REPORT,353,353,NO CHANGE
VETERANS_AFFAIRS_SUBPAGES_REPORT,39,39,NO CHANGE
LIBRARY_OF_CONGRESS_SUBPAGES_REPORT,114,114,NO CHANGE
SECURITIES_AND_EXCHANGE_COMMISSION_SUBPAGES_REPORT,2,2,NO CHANGE
ENVIRONMENTAL_PROTECTION_AGENCY_SUBPAGES_REPORT,83,83,NO CHANGE
FBI_SUBPAGES_REPORT,82,82,NO CHANGE
HEALTH_AND_HUMAN_SERVICES_SUBPAGES_REPORT,0,0,NO CHANGE
DEPARTMENT_OF_THE_TREASURY_SUBPAGES_REPORT,233,233,NO CHANGE
USA_SUBPAGES_REPORT,43,43,NO CHANGE
US_NAVY_SUBPAGES_REPORT,62,62,NO CHANGE
DOGE_SUBPAGES_REPORT,8,8,NO CHANGE
DEPARTMENT_OF_EDUCATION_SUBPAGES_REPORT,114,114,NO CHANGE
WHITE_HOUSE_SUBPAGES_REPORT,42,42,NO CHANGE
JUSTICE_SUBPAGES_REPORT,60,60,NO CHANGE
CDC_SUBPAGES_REPORT,138,138,NO CHANGE
