DEPT,PREVIOUS_LINK_SUM,CURRENT_LINK_SUM,CHANGE_SUMMARY
SMALL_BUSINESS_ADMINISTRATION_SUBPAGES_REPORT,174,175,+1 LINKS
USA_SUBPAGES_REPORT,45,46,+1 LINKS
STATE_SUBPAGES_REPORT,391,392,+1 LINKS
US_GEOLOGICAL_SURVEY_SUBPAGES_REPORT,163,171,+8 LINKS
HEALTH_AND_HUMAN_SERVICES_SUBPAGES_REPORT,59,1,-58 LINKS
SECURITIES_AND_EXCHANGE_COMMISSION_SUBPAGES_REPORT,91,3,-88 LINKS
US_NAVY_SUBPAGES_REPORT,98,98,NO CHANGE
DHS_SUBPAGES_REPORT,98,98,NO CHANGE
DEFENSE_SUBPAGES_REPORT,84,84,NO CHANGE
FEDERAL_RESERVE_SUBPAGES_REPORT,218,218,NO CHANGE
LIBRARY_OF_CONGRESS_SUBPAGES_REPORT,84,84,NO CHANGE
JUSTICE_SUBPAGES_REPORT,62,62,NO CHANGE
DEPARTMENT_OF_THE_TREASURY_SUBPAGES_REPORT,241,241,NO CHANGE
CDC_SUBPAGES_REPORT,141,141,NO CHANGE
IRS_SUBPAGES_REPORT,99,99,NO CHANGE
ENVIRONMENTAL_PROTECTION_AGENCY_SUBPAGES_REPORT,104,104,NO CHANGE
DEPARTMENT_OF_EDUCATION_SUBPAGES_REPORT,121,121,NO CHANGE
SOCIAL_SECURITY_ADMINISTRATION_SUBPAGES_REPORT,80,80,NO CHANGE
NATIONAL_INSTITUTES_OF_HEALTH_SUBPAGES_REPORT,129,129,NO CHANGE
WHITE_HOUSE_SUBPAGES_REPORT,71,71,NO CHANGE
US_AIR_FORCE_SUBPAGES_REPORT,152,152,NO CHANGE
NATIONAL_SCIENCE_FOUNDATION_SUBPAGES_REPORT,88,88,NO CHANGE
US_ARMY_SUBPAGES_REPORT,58,58,NO CHANGE
VETERANS_AFFAIRS_SUBPAGES_REPORT,41,41,NO CHANGE
US_CITIZENSHIP_AND_IMMIGRATION_SERVICES_SUBPAGES_REPORT,147,147,NO CHANGE
TSA_SUBPAGES_REPORT,49,49,NO CHANGE
FEMA_SUBPAGES_REPORT,193,193,NO CHANGE
