DEPT,PREVIOUS_LINK_SUM,CURRENT_LINK_SUM,CHANGE_SUMMARY
US_ARMY_SUBPAGES_REPORT,58,59,+1 LINKS
JUSTICE_SUBPAGES_REPORT,62,61,-1 LINKS
US_AIR_FORCE_SUBPAGES_REPORT,153,152,-1 LINKS
WHITE_HOUSE_SUBPAGES_REPORT,43,42,-1 LINKS
FEMA_SUBPAGES_REPORT,169,168,-1 LINKS
SMALL_BUSINESS_ADMINISTRATION_SUBPAGES_REPORT,185,184,-1 LINKS
FEDERAL_RESERVE_SUBPAGES_REPORT,217,216,-1 LINKS
DEPARTMENT_OF_EDUCATION_SUBPAGES_REPORT,117,116,-1 LINKS
IRS_SUBPAGES_REPORT,97,96,-1 LINKS
NATIONAL_INSTITUTES_OF_HEALTH_SUBPAGES_REPORT,81,80,-1 LINKS
VETERANS_AFFAIRS_SUBPAGES_REPORT,42,41,-1 LINKS
SOCIAL_SECURITY_ADMINISTRATION_SUBPAGES_REPORT,92,94,+2 LINKS
LIBRARY_OF_CONGRESS_SUBPAGES_REPORT,96,93,-3 LINKS
DHS_SUBPAGES_REPORT,90,86,-4 LINKS
CDC_SUBPAGES_REPORT,134,134,NO CHANGE
HEALTH_AND_HUMAN_SERVICES_SUBPAGES_REPORT,0,0,NO CHANGE
DEPARTMENT_OF_THE_TREASURY_SUBPAGES_REPORT,227,227,NO CHANGE
US_CITIZENSHIP_AND_IMMIGRATION_SERVICES_SUBPAGES_REPORT,138,138,NO CHANGE
FBI_SUBPAGES_REPORT,79,79,NO CHANGE
CIA_SUBPAGES_REPORT,0,0,NO CHANGE
TSA_SUBPAGES_REPORT,126,126,NO CHANGE
ENVIRONMENTAL_PROTECTION_AGENCY_SUBPAGES_REPORT,80,80,NO CHANGE
STATE_SUBPAGES_REPORT,333,333,NO CHANGE
SECURITIES_AND_EXCHANGE_COMMISSION_SUBPAGES_REPORT,2,2,NO CHANGE
US_NAVY_SUBPAGES_REPORT,63,63,NO CHANGE
DEFENSE_SUBPAGES_REPORT,16,16,NO CHANGE
DOGE_SUBPAGES_REPORT,7,7,NO CHANGE
NATIONAL_SCIENCE_FOUNDATION_SUBPAGES_REPORT,94,94,NO CHANGE
US_GEOLOGICAL_SURVEY_SUBPAGES_REPORT,158,158,NO CHANGE
USA_SUBPAGES_REPORT,41,41,NO CHANGE
