DEPT,PREVIOUS_LINK_SUM,CURRENT_LINK_SUM,CHANGE_SUMMARY
SOCIAL_SECURITY_ADMINISTRATION_SUBPAGES_REPORT,94,96,+2 LINKS
CDC_SUBPAGES_REPORT,134,134,NO CHANGE
HEALTH_AND_HUMAN_SERVICES_SUBPAGES_REPORT,0,0,NO CHANGE
DEPARTMENT_OF_THE_TREASURY_SUBPAGES_REPORT,228,228,NO CHANGE
JUSTICE_SUBPAGES_REPORT,62,62,NO CHANGE
US_CITIZENSHIP_AND_IMMIGRATION_SERVICES_SUBPAGES_REPORT,140,140,NO CHANGE
US_AIR_FORCE_SUBPAGES_REPORT,167,167,NO CHANGE
DHS_SUBPAGES_REPORT,90,90,NO CHANGE
FBI_SUBPAGES_REPORT,78,78,NO CHANGE
CIA_SUBPAGES_REPORT,0,0,NO CHANGE
WHITE_HOUSE_SUBPAGES_REPORT,41,41,NO CHANGE
FEMA_SUBPAGES_REPORT,170,170,NO CHANGE
TSA_SUBPAGES_REPORT,124,124,NO CHANGE
ENVIRONMENTAL_PROTECTION_AGENCY_SUBPAGES_REPORT,82,82,NO CHANGE
STATE_SUBPAGES_REPORT,332,332,NO CHANGE
LIBRARY_OF_CONGRESS_SUBPAGES_REPORT,96,96,NO CHANGE
US_ARMY_SUBPAGES_REPORT,58,58,NO CHANGE
SECURITIES_AND_EXCHANGE_COMMISSION_SUBPAGES_REPORT,2,2,NO CHANGE
US_NAVY_SUBPAGES_REPORT,60,60,NO CHANGE
SMALL_BUSINESS_ADMINISTRATION_SUBPAGES_REPORT,185,185,NO CHANGE
DEFENSE_SUBPAGES_REPORT,11,11,NO CHANGE
DOGE_SUBPAGES_REPORT,7,7,NO CHANGE
FEDERAL_RESERVE_SUBPAGES_REPORT,218,218,NO CHANGE
DEPARTMENT_OF_EDUCATION_SUBPAGES_REPORT,117,117,NO CHANGE
IRS_SUBPAGES_REPORT,92,92,NO CHANGE
NATIONAL_INSTITUTES_OF_HEALTH_SUBPAGES_REPORT,81,81,NO CHANGE
NATIONAL_SCIENCE_FOUNDATION_SUBPAGES_REPORT,94,94,NO CHANGE
US_GEOLOGICAL_SURVEY_SUBPAGES_REPORT,157,157,NO CHANGE
USA_SUBPAGES_REPORT,41,41,NO CHANGE
VETERANS_AFFAIRS_SUBPAGES_REPORT,42,42,NO CHANGE
